name;level;type;ritual;casting_time;casting_time_comment;range;components;components_comment;duration;duration_comment;discription
Forcecage;7;evocation;-;1 action;-;100 feet;V,S,M;ruby dust worth 1,500 gp;1 hour;-;An im m obile, invisible, cu be-sh a ped prison com p osed ofAn im m obile, invisible, cu be-sh a ped prison com p osed ofm agical for ce sprin gs into existen ce arou nd an area youch oose within range. Th e prison can be a ca ge or a solidbox, as you ch oose.A prison in the sh ape of a ca ge ca n be up to 20 feet ona side and is m ade from 1/2-inch diam eter ba rs spa ced1/2 inch apart.A prison in the sh ape of a box ca n be up to 10 feet ona side, crea tin g a solid ba rrier that prevents any matterfrom pa ssin g through it and block in g any spells cast intoor out from the area.W h en you cast the spell, any crea tu re that iscom pletely inside the ca ges area is trapped. Creatureson ly partially with in the area, or th ose too large to fitin side the area, are pu sh ed away from the cen ter of thearea until they are com pletely ou tside the area.A creatu re inside the ca ge ca n t leave it by n on m a gica lm ea n s. If the creatu re tries to u se teleportation orinterplanar travel to leave the cage, it m ust first m ake aCh arism a saving throw. On a su ccess, the creature canuse that m agic to exit the cage. On a failure, the creaturecant exit the cage and wastes the u se of the spell oreffect. Th e ca ge also exten ds into the E thereal Plane,block in g eth ereal travel.Th is spell ca n t be dispelled by  dispel m agic.
WallofIce;6;evocation;-;1 action;-;120 feet;V,S,M;a sm all piece of quartz;concentration;['Duration: Con centration ', ' up to 10 m inutes'];You create a wall of ice on a solid su rfa ce within range.You create a wall of ice on a solid su rfa ce within range.You ca n form it into a h em isph erical dom e or a spherewith a radius of up to 10 feet, or you ca n sh ape a flatsu rfa ce m ade up of ten 10-foot-squ are panels. E achpanel m ust be con tigu ou s with an oth er panel. In anyform , the wall is 1 foot thick and lasts for the duration.If the wall cuts th rough a crea tu res spa ce wh en itappears, the creatu re within its area is pu sh ed to on eside of the wall and m ust m ake a Dexterity saving throw.On a failed save, the creatu re takes 10d6 cold dam age,or h a lf as m u ch da m age on a su ccessfu l save.Th e wall is an object that ca n be da m aged and thusbreach ed. It has AC 12 and 30 hit poin ts per 10-footsection , and it is vuln erable to fire dam age. Redu cin ga 10-foot section of wall to 0 hit poin ts destroys it andlea ves beh in d a sh eet of frigid air in the spa ce the walloccu pied. A crea tu re m ovin g th rou gh the sh eet of frigidair for the first tim e on a turn m ust m ake a Constitutionsaving throw. That creatu re takes 5d6 cold da m age on afailed save, or h alf as m uch da m age on a su ccessfu l one.A t H igher L evels. W h en you cast this spell u sing aspell slot of 7th level or higher, the da m age the walldea ls w h en it appears in crea ses by 2d6, and the dam agefrom pa ssin g th rough the sh eet of frigid air in crea ses by1d6, for each slot level above 6th.
Longstrider;1;transmutation;-;1 action;-;touch;V,S,M;a pin ch of dirt;1 hour;-;You touch a creatu re. Th e targets sp eed in crea ses by 10You touch a creatu re. Th e targets sp eed in crea ses by 10feet until the spell ends.A t H igher L evels. W h en you cast this spell u singa spell slot of 2nd level or higher, you ca n target on eadditional crea tu re for each slot level above 1st.
LocateAnimalsorPlants;2;divination;True;1 action;-;self;V,S,M;a bit of fur from a bloodh ou n d;instant;-;D escr ibe or nam e a specific kind of beast or plant.D escr ibe or nam e a specific kind of beast or plant.Con centratin g on the voice of nature in yoursu rrou n din gs, you learn the direction and dista n ce tothe closest crea tu re or plant of that kind within 5 m iles,if any are present.
GreaterRestoration;5;abjuration;-;1 action;-;touch;V,S,M;diam on d dust w orth at least 100gp, wh ich the spell con su m es;instant;-;You im bu e a crea tu re you tou ch with positive en ergy toYou im bu e a crea tu re you tou ch with positive en ergy tou ndo a debilitating effect. You ca n redu ce the targetsexhaustion level by one, or en d on e of the followin geffects on the target:• One effect that ch a rm ed or petrified the target• One cu rse, in cluding the targets attunem ent to acu r sed m a gic item• Any redu ction to on e of the targets ability scor es• One effect redu cin g the targets hit poin t m a xim u m
PhantomSteed;3;illusion;True;1 minute;-;30 feet;V,S;-;1 hour;-;A Large quasi-real, h orselike creatu re appears onA Large quasi-real, h orselike creatu re appears onthe grou n d in an u n occu pied spa ce of you r ch oicewithin range. You decide the crea tu res appearan ce,but it is equ ipped with a saddle, bit, and bridle. Anyof the equipm ent created by the spell van ish es in apu ff of sm oke if it is ca rried m ore than 10 feet awayfrom the steed.F or the duration, you or a creatu re you ch oose canride the steed. Th e creatu re u ses the statistics for aridin g h orse, except it has a speed of 100 feet and cantravel 10 m iles in an hour, or 13 m iles at a fast pace.W h en the spell ends, the steed gradually fades, givingthe rider 1 m inute to dism ount. Th e spell en ds if you u sean action to dism iss it or if the steed takes any dam age.
DominateBeast;4;enchantment;-;1 action;-;60 feet;V,S;-;1 minutes;-;You attem pt to begu ile a bea st that you can see withinYou attem pt to begu ile a bea st that you can see withinrange. It m ust su cceed on a W isdom saving th row or bech a rm ed by you for the duration. If you or crea tu res thatare friendly to you are fighting it, it h as advantage on thesaving throw.W h ile the bea st is ch a rm ed, you have a telepathic linkwith it as lon g as the two of you are on the sa m e planeof existence. You ca n u se this telepathic link to issu ecom m a n ds to the creatu re wh ile you are con sciou s (noaction requ ired), wh ich it does its best to obey. You canspecify a sim ple and gen eral cou r se of action, su ch as“Attack that creatu re,” “Run over th ere,” or “Fetch thatobject.” If the creatu re com pletes the order and doesn treceive further direction from you, it defen ds andpr eserves itself to the best of its ability.You ca n u se your action to take total and precisecon trol of the target. Until the en d of your next turn, thecrea tu re ta kes on ly the actions you ch oose, and doesn tdo anything that you don t allow it to do. Du rin g thistim e, you can a lso ca u se the creatu re to u se a reaction,but this requ ires you to u se your own reaction as well.E a ch tim e the target takes dam age, it m a kes a n ewW isdom saving th row against the spell. If the savingth row su cceeds, the spell ends.A t H igher L evels. W h en you cast this spell with a5th level spell slot, the duration is con cen tra tion , upto 10 m inutes. W h en you u se a 6th level spell slot,the duration is con cen tra tion , up to 1 hour. W h en youu se a spell slot of 7th level or higher, the duration iscon cen tra tion , up to 8 hours.
Maze;8;conjuration;-;1 action;-;60 feet;V,S;-;concentration;['Duration: Con centration ', ' up to 10 m inutes'];You ba n ish a crea tu re that you ca n see within range intoYou ba n ish a crea tu re that you ca n see within range intoa labyrinthine dem iplane. Th e target rem ain s there forthe duration or until it esca p es the m aze.Th e target can u se its action to attempt to esca pe.W h en it does so, it m a kes a DC 20 In telligen ce ch eck. Ifit su cceeds, it esca pes, and the spell en ds (a m inotau r orgoristro dem on autom atically su cceeds).Wh en the spell ends, the target reappea rs in thespa ce it left or, if that spa ce is occu pied, in the n earestu n occu pied space.
Clairvoyance;3;divination;-;10 minutes;-;1 mile;V,S,M;a focu s worth at least 100gp, either a jew eled h orn for h earin g or a glasseye for seein g;concentration;['Duration: Con centration ', ' up to 10 m inutes'];You create an invisible sen sor within ran ge in a locationYou create an invisible sen sor within ran ge in a locationfam iliar to you (a pla ce you have visited or seen before)or in an obviou s loca tion that is unfam iliar to you (suchas beh in d a door, a rou n d a corn er, or in a grove of trees).Th e sen sor rem ain s in pla ce for the duration, and itca n t be attacked or oth erwise in teracted with.W h en you cast the spell, you ch oose seein g orhearing. You ca n u se the ch osen sen se th rough thesen sor as if you were in its spa ce. As you r action, youca n switch between seein g and hearing.A creatu re that ca n see the sen sor (such as a creatureben efiting from see  invisibility or truesight) sees alu m in ou s, intangible orb about the size of you r fist.
MageHand;0;Conjuration;-;1 action;-;30 feet;V,S;-;1 minutes;-;A spectral, floating hand appears at a point you ch ooseA spectral, floating hand appears at a point you ch oosewithin range. Th e hand lasts for the duration or untilyou dism iss it as an action. Th e hand van ish es if it isever m ore than 30 feet away from you or if you castthis spell again.You ca n u se you r action to con trol the hand. You canu se the hand to m anipulate an object, open an u n lockeddoor or container, stow or retrieve an item from an opencontainer, or pou r the contents out of a vial. You canm ove the hand up to 30 feet each tim e you u se it.Th e hand ca n t attack, activate m a gic item s, or carrym ore than 10 pou n ds.
Heal;6;evocation;-;1 action;-;60 feet;V,S;-;instant;-;C h oose a crea tu re that you can see within range. AC h oose a crea tu re that you can see within range. Asu rge of positive en ergy wa sh es th rou gh the creature,cau sin g it to regain 70 hit points. Th is spell a lso endsblin dn ess, dea fn ess, and any disea ses affecting thetarget. Th is spell has n o effect on con stru cts or undead.A t H igher L evels. W h en you cast this spell u sin g aspell slot of 7th level or higher, the am ount of healingin crea ses by 10 for ea ch slot level above 6th.
MeteorSwarm;9;evocation;-;1 action;-;1 mile;V,S;-;instant;-;Blazin g orbs of fire plum m et to the grou n d at fourBlazin g orbs of fire plum m et to the grou n d at fourdifferent poin ts you ca n see with in range. E ach creatu rein a 40-foot-radiu s sph ere cen tered on ea ch poin t youch oose m ust m ake a Dexterity saving throw. Th e spheresprea ds arou nd corn ers. A creatu re takes 20d6 fireda m age and 20d6 blu dgeon in g da m age on a failedsave, or h a lf as m uch da m age on a su ccessfu l one. Acreatu re in the area of m ore than on e fiery burst isaffected on ly on ce.Th e spell da m a ges objects in the area and ignitesflam m able objects that aren t bein g worn or carried.
EldritchBlast;0;Evocation;-;1 action;-;120 feet;V,S;-;instant;-;A bea m of cra cklin g en ergy strea ks toward a creatureA bea m of cra cklin g en ergy strea ks toward a creaturewithin range. Make a ran ged spell attack against thetarget. On a hit, the target takes 1dlO force dam age.Th e spell crea tes m ore than on e bea m w h en you reachhigh er levels: two bea m s at 5th level, th ree bea m s at11th level, and fou r bea m s at 17th level. You can directthe bea m s at the sa m e target or at different on es. Makea separate attack roll for ea ch beam .
MindBlank;8;abjuration;-;1 action;-;touch;V,S;-;24 hours;-;Until the spell ends, on e willin g creatu re you tou ch isUntil the spell ends, on e willin g creatu re you tou ch isim m u n e to psych ic dam age, any effect that wou ld sen seits em otion s or read its thoughts, divination spells, andthe ch a rm ed condition . Th e spell even foils  wish spellsand spells or effects of sim ilar pow er u sed to affect thetargets m in d or to gain in form ation about the target.
PlaneShift;7;conjuration;-;1 action;-;touch;V,S,M;a forked, m etal r od worth at least250 gp, attuned to a particu lar plane of existence;instant;-;You and up to eight willin g crea tu res wh o link h an ds inYou and up to eight willin g crea tu res wh o link h an ds ina circle are tran sported to a different plane of existence.You ca n specify a target destination in general term s,su ch as the City of Brass on the E lem ental P la n e ofF ire or the pa lace of Dispater on the secon d level of theNine H ells, and you appear in or n ear that destination.If you are trying to reach the City of Brass, for exam ple,you m ight arrive in its Street of Steel, before its Gate ofAsh es, or look in g at the city from a cr oss the S ea of Fire,at the DM s discretion.Alternatively, if you k n ow the sigil sequ en ce of ateleportation circle on an oth er plane of existen ce, thisspell can take you to that circle. If the teleportationcircle is too sm all to h old all the crea tu res youtran sported, they appear in the closest u n occu piedspa ces next to the circle.You can u se this spell to ba n ish an u nwillin g creatureto an oth er plane. C h oose a creatu re within you r reachand m ake a m elee spell attack against it. On a hit, thecrea tu re m ust m ake a Ch arism a saving throw. If thecrea tu re fails this save, it is tran sported to a ran domloca tion on the plane of existen ce you specify. A creatu reso tran sported m ust find its own way ba ck to yourcurrent plane of existence.
ConjureElemental;5;conjuration;-;1 minute;-;90 feet;V,S,M;bu rn in g in cen se for air, soft clayfor earth, su lfu r and ph osph oru s for fire, or water andsan d for water;1 hour;-;You call forth an elem ental servant. Ch oose an area of air,You call forth an elem ental servant. Ch oose an area of air,earth, fire, or water that fills a 10-foot cu be within range.An elem ental of challen ge rating 5 or lower appropriateto the area you ch ose appears in an u n occu pied spacewithin 10 feet of it. F or exam ple, a fire elem entalem erges from a bon fire, and an earth elem ental risesup from the ground. Th e elem ental disa ppea rs wh en itdr ops to 0 hit points or when the spell ends.Th e elem ental is friendly to you and you r com pa n ion sfor the duration. Roll initiative for the elem ental, whichhas its own turns. It obeys any verbal com m a n ds thatyou issu e to it (no action requ ired by you). If you don tissu e any com m a n ds to the elem ental, it defen ds itselffrom h ostile crea tu res but oth erwise takes n o actions.If your con cen tra tion is broken, the elem ental d oesn tdisappear. Instead, you lose con trol of the elem ental,it becom es h ostile toward you and you r com pa n ion s,and it m ight attack. An u n con trolled elem ental ca n tbe dism issed by you, and it disa ppea rs 1 h ou r afteryou su m m on ed it.Th e DM h as the elem entals statistics.A t H igher L evels. W h en you cast this spell u singa spell slot of 6th level or higher, the ch a llen ge ratingin crea ses by 1 for ea ch slot level above 5th.d10 Behavior1 The creature uses all its movement to move in arandom direction. To determine the direction, rolla d8 and assign a direction to each die face. Thecreature doesnt take an action this turn.2-6 The creature doesnt move or take actions this turn.7-8 The creature uses its action to make a melee attackagainst a randomly determined creature within itsreach. If there is no creature within its reach, thecreature does nothing this turn.9-10 The creature can act and move normally.
Entangle;1;conjuration;-;1 action;-;90 feet;V,S;-;1 minutes;-;Gra spin g w eeds and vin es sprou t from the grou n d in aGra spin g w eeds and vin es sprou t from the grou n d in a20-foot squ a re startin g from a poin t within range. F orthe duration, th ese plants turn the grou n d in the areainto difficult terrain.A crea tu re in the area wh en you cast the spell m ustsu cceed on a Stren gth saving th row or be restrainedby the en tan glin g plants until the spell ends. A creatu rerestrain ed by the plants ca n u se its action to m akea Stren gth ch eck against you r spell save DC. On asu ccess, it frees itself.Wh en the spell ends, the con ju red plants wilt away.
ContinualFlame;2;evocation;-;1 action;-;touch;V,S,M;ruby dust worth 50 gp, wh ich thespell con su m es;Until dispelled or triggered;-;A flam e, equivalent in brigh tn ess to a torch, sprin gsA flam e, equivalent in brigh tn ess to a torch, sprin gsforth from an object that you touch. Th e effect look s likea regu lar flam e, but it crea tes n o heat and d oesn t useoxygen. A  continual flam e can be covered or hidden butnot sm oth ered or quenched.
ExpeditiousRetreat;1;transmutation;-;1 bonus action;-;self;V,S;-;concentration;['Duration: Con centration ', ' up to 10 m inutes'];Th is spell allows you to m ove at an in credible pace.Th is spell allows you to m ove at an in credible pace.W h en you cast this spell, and then as a bon u s actionon ea ch of your turns until the spell ends, you ca n takethe Dash action.
Sunbeam;6;evocation;-;1 action;-;self;V,S,M;a m a gn ifyin g glass;1 minutes;-;A bea m of brilliant light flash es out from your handA bea m of brilliant light flash es out from your handin a 5-foot-wide, 60-foot-lon g line. E a ch crea tu re inthe line m ust m ake a Constitution saving throw. On afailed save, a creatu re takes 6d8 radiant da m age andis blin ded until you r next turn. On a su ccessfu l save,it takes h a lf as m u ch da m age and isn t blin ded by thisspell. Undead and oozes have disadvantage on thissaving throw.You can crea te a n ew line of radia n ce as your actionon any turn until the spell ends.F or the duration, a m ote of brilliant radia n ce sh in es inyou r hand. It sh eds bright light in a 30-foot radius anddim light for an additional 30 feet. Th is light is sunlight.
FlamingSphere;2;conjuration;-;1 action;-;60 feet;V,S,M;a bit of tallow, a pin ch ofbrim ston e, and a dusting of pow dered iron;1 minutes;-;A 5-foot-diam eter sph ere of fire appears in anA 5-foot-diam eter sph ere of fire appears in anu n occu pied spa ce of your ch oice within ran ge and lastsfor the duration. An y creatu re that en ds its turn with in 5feet of the sph ere m ust m ake a Dexterity saving throw.Th e crea tu re takes 2d6 fire da m age on a failed save, orh a lf as m u ch da m age on a su ccessfu l one.As a bon u s action, you ca n m ove the sph ere up to 30feet. If you ram the sph ere into a creatu re, that creaturem ust m ake the saving th row against the sph eresdam age, and the sph ere stops m ovin g this turn.Wh en you m ove the sphere, you ca n direct it overba rriers up to 5 feet tall and ju m p it a cr oss pits up to10 feet wide. Th e sph ere ignites flam m able objects notbein g w orn or carried, and it sh eds bright light in a20-foot radius and dim light for an additional 20 feet.A t H igher L evels. W h en you cast this spell u sin g aspell slot of 3rd level or higher, the da m age in crea ses by1d6 for each slot level above 2nd.
RaiseDead;5;necromancy;-;1 hour;-;touch;V,S,M;a dia m on d worth at least 500 gp,wh ich the spell con su m es;instant;-;You return a dead crea tu re you tou ch to life, providedYou return a dead crea tu re you tou ch to life, providedthat it has been dead n o lon ger than 10 days. If thecrea tu res sou l is both willin g and at liberty to rejoin thebody, the creatu re retu rn s to life with 1 hit point.Th is spell also n eu tra lizes any poison s and cu resn on m a gica l disea ses that affected the crea tu re at thetim e it died. Th is spell d oesn t, however, rem ove m a gica ldisea ses, cu rses, or sim ilar effects if th ese arent firstrem oved prior to castin g the spell, they take effect wh enthe creatu re returns to life. Th e spell ca n t return anundead creatu re to life.Th is spell closes all m ortal w ou n ds, but it d oesn trestore m issin g body parts. If the crea tu re is lackin gbody parts or orga n s integral for its survivalits head,for in sta n cethe spell autom atically fails.Com in g ba ck from the dead is an ordeal. Th e targettakes a -4 penalty to all attack rolls, saving th rows, andability ch eck s. E very tim e the target fin ish es a lon g rest,the pen alty is redu ced by 1 until it disappears.
Counterspell;3;abjuration;-;1 reaction;ct comment;60 feet;S;-;instant;-;You attem pt to interrupt a creatu re in the p r ocess ofYou attem pt to interrupt a creatu re in the p r ocess ofcastin g a spell. If the creatu re is castin g a spell of 3rdlevel or lower, its spell fails and has n o effect. If it iscastin g a spell of 4th level or higher, m ake an abilitych eck u sin g your spellca stin g ability. Th e DC equ als 10+ the spells level. On a su ccess, the crea tu res spell failsand has n o effect.A t H igher L evels. Wh en you cast this spell u sin g aspell slot of 4th level or higher, the interrupted spell hasno effect if its level is less than or equ al to the level of thespell slot you used.
Imprisonment;9;abjuration;-;1 minute;-;30 feet;V,S,M;a vellum depiction or a ca rvedstatuette in the liken ess of the target, and a specia lcom pon en t that varies a ccordin g to the version of thespell you ch oose, worth at least 500 gp per Hit Dieof the target;Until dispelled or triggered;-;You crea te a m a gica l restraint to h old a creatu re thatYou crea te a m a gica l restraint to h old a creatu re thatyou can see within range. Th e target m ust su cceed ona W isdom saving th row or be bou n d by the spell if itsu cceeds, it is im m u n e to this spell if you cast it again.W h ile affected by this spell, the creatu re doesn t n eedto breathe, eat, or drink, and it doesn t age. Divinationspells ca n t locate or perceive the target.W h en you cast the spell, you ch oose on e of thefollowin g form s of im prison m en t.Burial. Th e target is en tom bed far ben eath the earthin a sph ere of m a gica l force that is ju st large en ou gh tocontain the target. N othin g can pa ss th rough the sphere,n or ca n any creatu re teleport or u se planar travel to getinto or out of it.Th e specia l com pon en t for this version of the spell is asm all m ithral orb.Chaining. H eavy chains, firm ly r ooted in the ground,hold the target in pla ce. Th e target is restrained untilthe spell ends, and it ca n t m ove or be m oved by anym ea n s until then.Th e specia l com pon en t for this version of the spell is afine chain of preciou s metal.H edged Prison. Th e spell tran sports the target intoa tiny dem ipla n e that is warded against teleportationand planar travel. Th e dem iplane ca n be a labyrinth, acage, a tower, or any sim ilar con fin ed stru ctu re or areaof your ch oice.Th e specia l com pon en t for this version of the spell is am iniature representation of the prison m ade from jade.M inim us Containm ent. Th e target sh rin ks to a heightof 1 inch and is im prison ed in side a gem ston e or sim ilarobject. Light ca n pa ss th rou gh the gem ston e norm ally(allowin g the target to see out and oth er crea tu res to seein), but n oth ing else ca n pa ss th rough, even by m ea n s ofteleportation or planar travel. Th e gem ston e ca n t be cutor broken wh ile the spell rem ain s in effect.Th e specia l com pon en t for this version of the spellis a large, transparent gem stone, su ch as a coru n du m ,diam on d, or ruby.Slumber. Th e target falls asleep and ca n t be awoken.Th e specia l com pon en t for this version of the spellcon sists of rare soporific herbs.Ending the Spell. Durin g the castin g of the spell,in any of its version s, you ca n specify a con dition thatwill ca u se the spell to en d and release the target. Thecon dition can be as specific or as elaborate as youch oose, but the DM m ust agree that the con dition isrea son a ble and has a likelih ood of com in g to pa ss. Th econ dition s ca n be ba sed on a crea tu res nam e, identity,or deity but oth erwise m ust be ba sed on observa bleaction s or qualities and not ba sed on intangibles su ch aslevel, cla ss, or hit points.A  dispel m agic spell ca n end the spell on ly if it is castas a 9th level spell, targeting either the prison or thespecia l com pon en t u sed to create it.You ca n u se a particu la r specia l com pon en t to createon ly on e prison at a tim e. If you cast the spell againu sing the sa m e com pon en t, the target of the first castin gis im m ediately freed from its binding.
